detected_at_utc,source_url,title,description,link,reason_matched,proposed_tags
2026-01-29T09:18:21.983971+00:00,https://openwho.org/channels,"Emergency Response Framework Public, Restricted",,https://openwho.org/channel/Emergency%2BResponse%2BFramework/537832,matched keywords: emergency response,emergency response
2026-01-29T09:18:21.983971+00:00,https://openwho.org/channels,"Go.Data Public, Restricted",,https://openwho.org/channel/Go.Data/502240,matched keywords: go.data,go.data
2026-01-29T09:18:21.983971+00:00,https://openwho.org/channels,"Health Cluster coordination Public, Restricted",,https://openwho.org/channel/Health%2BCluster%2Bcoordination/495459,matched keywords: health cluster,health cluster
2026-01-29T09:18:21.983971+00:00,https://openwho.org/channels,"Health emergency preparedness response and resilience Public, Restricted",,https://openwho.org/channel/Health%2Bemergency%2Bpreparedness%2Bresponse%2Band%2Bresilience/522598,"matched keywords: health emergency, emergency preparedness","emergency preparedness, health emergency"
2026-01-29T09:18:21.983971+00:00,https://openwho.org/channels,"Health emergency readiness for response operations Public, Restricted",,https://openwho.org/channel/Health%2Bemergency%2Breadiness%2Bfor%2Bresponse%2Boperations/504475,matched keywords: health emergency,health emergency
